Organisms
Nostoc azollae
Acanthamoeba castellanii
Acanthaster planci
Acaryochloris marina
Accumulibacter phosphatis
Acetoanaerobium sticklandii
Acetobacter aceti
Acetobacter ascendens
Acetobacter orientalis
Acetobacter oryzifermentans
Acetobacter pasteurianus
Acetobacter pasteurianus
Acetobacter pasteurianus
Acetobacter pasteurianus
Acetobacter pasteurianus
Acetobacter pasteurianus
Acetobacter pasteurianus
Acetobacter pasteurianus
Acetobacter pasteurianus
Acetobacter persici
Acetobacter pomorum
Acetobacter senegalensis
Acetobacter sp
Acetobacter tropicalis
Acetobacterium woodii
Acetohalobium arabaticum
Acetomicrobium mobile
Acholeplasma axanthum
Acholeplasma brassicae
Acholeplasma laidlawii
Acholeplasma oculi
Acholeplasma palmae
Achromobacter denitrificans
Achromobacter insolitus
Achromobacter sp
Achromobacter sp
Achromobacter spanius
Achromobacter xylosoxidans
Achromobacter xylosoxidans
Achromobacter xylosoxidans
Achromobacter xylosoxidans
Acidaminococcus fermentans
Acidaminococcus intestini
Acidianus ambivalens
Acidianus brierleyi
Acidianus hospitalis
Acidianus manzaensis
Acidianus sulfidivorans
Acidiferrobacter sp
Acidihalobacter prosperus
Acidilobus saccharovorans
Acidilobus sp
Acidimicrobium ferrooxidans
Acidiphilium cryptum
Acidiphilium multivorum
Acidipropionibacterium acidipropionici
Acidipropionibacterium acidipropionici
Acidipropionibacterium jensenii
Acidipropionibacterium virtanenii
Acidisarcina polymorpha
Acidithiobacillus caldus
Acidithiobacillus caldus
Acidithiobacillus ferridurans
Acidithiobacillus ferrivorans
Acidithiobacillus ferrooxidans
Acidithiobacillus ferrooxidans
Acidithiobacillus thiooxidans
Acidobacterium capsulatum
Acidothermus cellulolyticus
Acidovorax avenae
Acidovorax carolinensis
Acidovorax carolinensis
Acidovorax carolinensis
Acidovorax carolinensis
Acidovorax citrulli
Acidovorax ebreus
Acidovorax sp
Acidovorax sp
Acidovorax sp
Acidovorax sp
Aciduliprofundum boonei
Aciduliprofundum sp
Acinetobacter baumannii
Acinetobacter baumannii
Acinetobacter baumannii
Acinetobacter baumannii
Acinetobacter baumannii
Acinetobacter baumannii
Acinetobacter baumannii
Acinetobacter baumannii
Acinetobacter baumannii
Acinetobacter baumannii
Acinetobacter baumannii
Acinetobacter baumannii
Acinetobacter baumannii
Acinetobacter baumannii
Acinetobacter baumannii
Acinetobacter baumannii
Acinetobacter baumannii
Acinetobacter baumannii
Acinetobacter baumannii
Acinetobacter baumannii
Acinetobacter baumannii
Acinetobacter baylyi
Acinetobacter calcoaceticus
Acinetobacter cumulans
Acinetobacter defluvii
Acinetobacter equi
Acinetobacter guillouiae
Acinetobacter haemolyticus
Acinetobacter indicus
Acinetobacter johnsonii
Acinetobacter junii
Acinetobacter lactucae
Acinetobacter larvae
Acinetobacter lwoffii
Acinetobacter nosocomialis
Acinetobacter oleivorans
Acinetobacter pittii
Acinetobacter radioresistens
Acinetobacter schindleri
Acinetobacter soli
Acinetobacter sp
Acinetobacter sp
Acinetobacter sp
Acinetobacter ursingii
Acinetobacter wuhouensis
Acinonyx jubatus
Acromyrmex echinatior
Acropora digitifera
Acropora millepora
Actinoalloteichus fjordicus
Actinoalloteichus hoggarensis
Actinoalloteichus hymeniacidonis
Actinoalloteichus sp
Actinoalloteichus sp
Actinobacillus equuli
Actinobacillus indolicus
Actinobacillus pleuropneumoniae
Actinobacillus pleuropneumoniae
Actinobacillus pleuropneumoniae
Actinobacillus porcitonsillarum
Actinobacillus succinogenes
Actinobacillus suis
Actinobacillus suis
Actinobacteria bacterium
Actinobaculum sp
Actinomadura sp
Actinomyces gaoshouyii
Actinomyces howellii
Actinomyces naeslundii
Actinomyces oris
Actinomyces radicidentis
Actinomyces sp
Actinomyces sp
Actinomyces sp
Actinomyces tangfeifanii
Actinoplanes friuliensis
Actinoplanes missouriensis
Actinoplanes sp
Actinoplanes sp
Actinoplanes sp
Actinopolyspora erythraea
Actinosynnema mirum
Actinosynnema pretiosum
Actinotignum schaalii
Acyrthosiphon pisum
Adlercreutzia equolifaciens
Advenella kashmirensis
Advenella mimigardefordensis
Aedes aegypti
Aedes albopictus
Aegilops tauschii
Aequorivita sp
Aequorivita sublithincola
Aeribacillus pallidus
Aerococcaceae bacterium
Aerococcus christensenii
Aerococcus sanguinicola
Aerococcus urinae
Aerococcus urinae
Aerococcus urinaeequi
Aerococcus urinaehominis
Aerococcus viridans
Aeromicrobium erythreum
Aeromicrobium sp
Aeromicrobium sp
Aeromicrobium sp
Aeromonas caviae
Aeromonas dhakensis
Aeromonas hydrophila
Aeromonas hydrophila
Aeromonas hydrophila
Aeromonas hydrophila
Aeromonas hydrophila
Aeromonas hydrophila
Aeromonas hydrophila
Aeromonas hydrophila
Aeromonas hydrophila
Aeromonas media
Aeromonas rivipollensis
Aeromonas salmonicida
Aeromonas salmonicida
Aeromonas schubertii
Aeromonas sp
Aeromonas sp
Aeromonas sp
Aeromonas veronii
Aeromonas veronii
Aeropyrum camini
Aeropyrum pernix
Aethina tumida
Agaricus bisporus
Agaricus bisporus
Aggregatibacter actinomycetemcomitans
Aggregatibacter actinomycetemcomitans
Aggregatibacter actinomycetemcomitans
Aggregatibacter actinomycetemcomitans
Aggregatibacter actinomycetemcomitans
Aggregatibacter actinomycetemcomitans
Aggregatibacter aphrophilus
Aggregatibacter aphrophilus
Aggregatibacter segnis
Agrobacterium fabrum
Agrobacterium larrymoorei
Agrobacterium radiobacter
Agrobacterium rhizogenes
Agrobacterium sp
Agrobacterium sp
Agrobacterium sp
Agrobacterium tumefaciens
Agrobacterium tumefaciens
Agrobacterium vitis
Agrococcus sp
Agromyces aureus
Agromyces sp
Agromyces sp
Ahniella affigens
Ailuropoda melanoleuca
Akkermansia glycaniphila
Akkermansia muciniphila
Alcaligenes aquatilis
Alcaligenes faecalis
Alcaligenes faecalis
